measure,sample,lags,controls,regressor,n_obs,sum_coef,joint_p
gdpdef,full_1959_2026,2,none,federal,238,0.0007,0.0949
gdpdef,full_1959_2026,2,none,ALL THREE (joint),238,,0.044
gdpdef,full_1959_2026,2,base,mortgage,238,0.0398,0.0171
gdpdef,full_1959_2026,2,base,consumer,238,0.0015,0.4269
gdpdef,full_1959_2026,2,base,federal,238,-0.0026,0.1296
gdpdef,full_1959_2026,2,base,ALL THREE (joint),238,,0.0518
gdpdef,full_1959_2026,2,base+output,mortgage,238,0.0391,0.0253
gdpdef,full_1959_2026,2,base+output,consumer,238,-0.0017,0.4681
gdpdef,full_1959_2026,2,base+output,federal,238,-0.0014,0.2545
gdpdef,full_1959_2026,2,base+output,ALL THREE (joint),238,,0.1207
gdpdef,full_1959_2026,4,none,mortgage,236,0.0315,0.1928
gdpdef,full_1959_2026,4,none,consumer,236,0.0098,0.4589
gdpdef,full_1959_2026,4,none,federal,236,0.0048,0.2463
gdpdef,full_1959_2026,4,none,ALL THREE (joint),236,,0.1305
gdpdef,full_1959_2026,4,base,mortgage,236,0.0421,0.0663
gdpdef,full_1959_2026,4,base,consumer,236,0.0123,0.4154
gdpdef,full_1959_2026,4,base,federal,236,-0.0204,0.2114
gdpdef,full_1959_2026,4,base,ALL THREE (joint),236,,0.1169
gdpdef,full_1959_2026,4,base+output,mortgage,236,0.0351,0.1751
gdpdef,full_1959_2026,4,base+output,consumer,236,-0.0058,0.5011
gdpdef,full_1959_2026,4,base+output,federal,236,-0.0198,0.3663
gdpdef,full_1959_2026,4,base+output,ALL THREE (joint),236,,0.2978
gdpdef,post_1981_break,2,none,mortgage,175,0.0299,0.0507
gdpdef,post_1981_break,2,none,consumer,175,-0.0113,0.2552
gdpdef,post_1981_break,2,none,federal,175,0.0216,0.2993
gdpdef,post_1981_break,2,none,ALL THREE (joint),175,,0.1236
gdpdef,post_1981_break,2,base,mortgage,175,0.0286,0.0249
gdpdef,post_1981_break,2,base,consumer,175,-0.012,0.2731
gdpdef,post_1981_break,2,base,federal,175,0.0265,0.2321
gdpdef,post_1981_break,2,base,ALL THREE (joint),175,,0.1284
gdpdef,post_1981_break,2,base+output,mortgage,175,0.0253,0.0677
gdpdef,post_1981_break,2,base+output,consumer,175,-0.0216,0.1535
gdpdef,post_1981_break,2,base+output,federal,175,0.0302,0.2092
gdpdef,post_1981_break,2,base+output,ALL THREE (joint),175,,0.0881
gdpdef,post_1981_break,4,none,mortgage,173,0.0363,0.0685
gdpdef,post_1981_break,4,none,consumer,173,-0.0252,0.11
gdpdef,post_1981_break,4,none,federal,173,0.0278,0.546
gdpdef,post_1981_break,4,none,ALL THREE (joint),173,,0.0749
gdpdef,post_1981_break,4,base,mortgage,173,0.0395,0.004
gdpdef,post_1981_break,4,base,consumer,173,-0.0211,0.0542
gdpdef,post_1981_break,4,base,federal,173,0.0151,0.5324
gdpdef,post_1981_break,4,base,ALL THREE (joint),173,,0.0264
gdpdef,post_1981_break,4,base+output,mortgage,173,0.0345,0.0232
gdpdef,post_1981_break,4,base+output,consumer,173,-0.0367,0.0739
gdpdef,post_1981_break,4,base+output,federal,173,0.0154,0.4901
gdpdef,post_1981_break,4,base+output,ALL THREE (joint),173,,0.0249
gdpdef,pre_covid_1959_2019,2,none,mortgage,213,0.0354,0.0276
gdpdef,pre_covid_1959_2019,2,none,consumer,213,0.0068,0.1257
gdpdef,pre_covid_1959_2019,2,none,federal,213,-0.0211,0.3451
gdpdef,pre_covid_1959_2019,2,none,ALL THREE (joint),213,,0.0535
gdpdef,pre_covid_1959_2019,2,base,mortgage,213,0.034,0.0367
gdpdef,pre_covid_1959_2019,2,base,consumer,213,0.0067,0.1497
gdpdef,pre_covid_1959_2019,2,base,federal,213,-0.0187,0.4658
gdpdef,pre_covid_1959_2019,2,base,ALL THREE (joint),213,,0.0947
gdpdef,pre_covid_1959_2019,2,base+output,mortgage,213,0.0349,0.0613
gdpdef,pre_covid_1959_2019,2,base+output,consumer,213,0.0088,0.1893
gdpdef,pre_covid_1959_2019,2,base+output,federal,213,-0.0184,0.4692
gdpdef,pre_covid_1959_2019,2,base+output,ALL THREE (joint),213,,0.2669
gdpdef,pre_covid_1959_2019,4,none,mortgage,211,0.0295,0.2354
gdpdef,pre_covid_1959_2019,4,none,consumer,211,0.0228,0.1722
gdpdef,pre_covid_1959_2019,4,none,federal,211,-0.0268,0.4233
gdpdef,pre_covid_1959_2019,4,none,ALL THREE (joint),211,,0.0997
gdpdef,pre_covid_1959_2019,4,base,mortgage,211,0.0326,0.1499
gdpdef,pre_covid_1959_2019,4,base,consumer,211,0.0246,0.2171
gdpdef,pre_covid_1959_2019,4,base,federal,211,-0.0325,0.4444
gdpdef,pre_covid_1959_2019,4,base,ALL THREE (joint),211,,0.0879
gdpdef,pre_covid_1959_2019,4,base+output,mortgage,211,0.0213,0.469
gdpdef,pre_covid_1959_2019,4,base+output,consumer,211,-0.0055,0.5923
gdpdef,pre_covid_1959_2019,4,base+output,federal,211,-0.0339,0.4282
gdpdef,pre_covid_1959_2019,4,base+output,ALL THREE (joint),211,,0.3863
