quarter_end,beta_const,beta_d_rate_mortgage_lag1,beta_pce_real_g_lag1,beta_fed_debt_g_lag1,se_const,se_d_rate_mortgage_lag1,se_pce_real_g_lag1,se_fed_debt_g_lag1
1999-03-31,10.097288014249202,-0.14276374438683306,-0.02436477123973023,0.011374604659095134,0.7637678210885023,0.47314592160903807,0.027840752688228082,0.03780103772266657
1999-06-30,8.935229412897048,-0.1376152429036096,-0.024364771360451266,0.011088942381602643,0.7535245549461167,0.4748513993949863,0.027840752501448882,0.03772018633804775
1999-09-30,10.315057622473846,-0.1309626721952199,-0.024364771372676088,0.010998939587360961,0.7616131881235821,0.47633392065561436,0.02784075231308639,0.03762643188948874
1999-12-31,8.747513432130583,-0.12899363816078646,-0.02436477157200936,0.010986629442012761,0.7792109267624242,0.4776027418485997,0.02784075212626788,0.0375217267263678
2000-03-31,9.26462590847064,-0.12043705117277664,-0.024364771673994843,0.011049174039410924,0.7803312640487924,0.4791796081837056,0.027840751938103685,0.037401583404764925
2000-06-30,9.474895583901526,-0.11196796340556714,-0.02436477179459222,0.011037145367831052,0.7592957958499463,0.4805033603775999,0.027840751752185908,0.03733042247557175
2000-09-30,8.374729838941368,-0.10634948206006345,-0.02436477199733697,0.01103221760553386,0.7492637439706753,0.48191695538395374,0.02784075156841066,0.03724525968046228
2000-12-31,7.736014414195774,-0.10058814990327158,-0.024364772182166965,0.010945629382130848,0.7482446150447521,0.4831156274536075,0.02784075138299647,0.03718316551853444
2001-03-31,6.9429544000482615,-0.09458791608309208,-0.024364772373144414,0.010862745723081242,0.7565630170556165,0.4841982644118354,0.02784075119779061,0.03710619722149459
2001-06-30,7.873363471980022,-0.0921838330216313,-0.024364772501497132,0.010737689812856967,0.7720170207599355,0.48516372691821225,0.027840751012945926,0.037016947204509286
2001-09-30,7.027068677119094,-0.08407961716844561,-0.024364772656717694,0.010210859124314457,0.7339148327166184,0.48644032224719136,0.027840750828061887,0.036969581347887685
2001-12-31,6.545654608248372,-0.07574068788512772,-0.024364772808879408,0.009649506367428888,0.7566919253895364,0.48760816412872615,0.027840750642717235,0.036932527753283845
2002-03-31,6.641297830645812,-0.06790287627360786,-0.024364772952667906,0.009181714111285006,0.7912456821811836,0.48859135203613835,0.027840750456862316,0.03688979515331329
2002-06-30,6.221011871679206,-0.05954443267352494,-0.024364773130951287,0.008575483861592133,0.7651836753536368,0.4894172801971317,0.027840750279967623,0.036873627580722115
